ID,Name,SearchURL,Player,Date,Year,Month,Day,Club,MarketValue,€ Unit,Avg Year MV
212198,Bruno Fernandes,https://www.google.com/search?q=Bruno+Fernandes+zerozero+valor-de-mercado,8.Bruno Fernandes,2013-06-14,2013,06,14,Udinese,3.5,M,51.166666666666664
212198,Bruno Fernandes,https://www.google.com/search?q=Bruno+Fernandes+zerozero+valor-de-mercado,8.Bruno Fernandes,2013-03-13,2013,03,13,Novara,100.0,mil,51.166666666666664
212198,Bruno Fernandes,https://www.google.com/search?q=Bruno+Fernandes+zerozero+valor-de-mercado,8.Bruno Fernandes,2013-01-10,2013,01,10,Novara,50.0,mil,51.166666666666664
212198,Bruno Fernandes,https://www.google.com/search?q=Bruno+Fernandes+zerozero+valor-de-mercado,8.Bruno Fernandes,2012-11-06,2012,11,06,Novara,50.0,mil,50.0
224334,M. Acuña,https://www.google.com/search?q=M.+Acu%C3%B1a+zerozero+valor-de-mercado,21.Marcos Acuña,2025-06-08,2025,06,08,River Plate,1.9,M,2.2
224334,M. Acuña,https://www.google.com/search?q=M.+Acu%C3%B1a+zerozero+valor-de-mercado,21.Marcos Acuña,2025-04-08,2025,04,08,River Plate,2.5,M,2.2
224334,M. Acuña,https://www.google.com/search?q=M.+Acu%C3%B1a+zerozero+valor-de-mercado,21.Marcos Acuña,2024-12-24,2024,12,24,River Plate,3.5,M,4.75
224334,M. Acuña,https://www.google.com/search?q=M.+Acu%C3%B1a+zerozero+valor-de-mercado,21.Marcos Acuña,2024-06-28,2024,06,28,Sevilla,4.0,M,4.75
224334,M. Acuña,https://www.google.com/search?q=M.+Acu%C3%B1a+zerozero+valor-de-mercado,21.Marcos Acuña,2024-04-03,2024,04,03,Sevilla,5.0,M,4.75
224334,M. Acuña,https://www.google.com/search?q=M.+Acu%C3%B1a+zerozero+valor-de-mercado,21.Marcos Acuña,2024-01-13,2024,01,13,Sevilla,6.5,M,4.75
224334,M. Acuña,https://www.google.com/search?q=M.+Acu%C3%B1a+zerozero+valor-de-mercado,21.Marcos Acuña,2023-09-18,2023,09,18,Sevilla,8.0,M,9.5
